date,product,category,price,quantity,stock
2026-05-01,크루아상,,3800,123,225
2026-02-17,스콘,베이커리,3500,14,129
2026-01-30,치아바타,베이커리,4200,17,
2026-01-19,치아바타,베이커리,4200,148,322
2026-01-14,텀블러,굿즈,15000,9999999,76
2026-03-19,에티오피아원두,원두,21000,22,127
2026-05-23,카페라떼,음료,5000,196,213
2026-06-02,에티오피아원두,원두,21000,159,115
2026-04-08,콜롬비아원두,원두,18000,116,465
2026-03-18,치아바타,베이커리,4200,151,219
2026-05-26,크루아상,베이커리,3800,159,30
2026-01-26,에티오피아원두,원두,21000,196,106
2026-02-24,텀블러,굿즈,15000,68,338
2026-02-10,카페라떼,음료,5000,62,88
2026-01-20,콜롬비아원두,원두,18000,41,1
2026-04-26,마들렌,베이커리,2800,177,304
2026-03-16,치아바타,베이커리,4200,9,118
2026-06-30,크루아상,베이커리,3800,73,359
2026-01-19,치아바타,베이커리,4200,176,119
2026-06-10,크루아상,베이커리,3800,151,338
2026-04-19,바닐라라떼,음료,5500,30,278
2026-06-15,바닐라라떼,음료,5500,39,465
2026-02-06,크루아상,베이커리,3800,19,30
2026-03-20,카푸치노,음료,5200,153,383
2026-03-15,에티오피아원두,원두,21000,113,63
2026-06-26,치아바타,베이커리,4200,78,358
2026-03-11,마들렌,베이커리,2800,129,276
2026-04-23,치아바타,베이커리,4200,21,306
2026-04-21,아메리카노,음료,4500,189,165
2026-03-06,에티오피아원두,원두,21000,7,46
2026-06-22,바닐라라떼,음료,5500,148,300
2026-06-22,아메리카노,음료,4500,69,295
2026-02-14,아메리카노,음료,4500,121,265
2026-04-24,텀블러,굿즈,15000,72,92
2026-04-22,에티오피아원두,원두,21000,163,416
2026-01-24,치아바타,베이커리,4200,121,178
2026-03-27,마들렌,,2800,83,343
2026-02-11,카페라떼,음료,5000,85,210
2026-05-07,에코백,굿즈,12000,74,339
2026-05-21,마들렌,베이커리,2800,10,232
2026-03-22,카페라떼,음료,5000,65,165
2026-04-14,카페라떼,음료,5000,132,422
2026-06-18,아메리카노,음료,4500,139,236
2026-01-14,마들렌,베이커리,2800,49,265
2026-06-09,스콘,베이커리,3500,194,255
2026-04-24,텀블러,굿즈,15000,195,26
2026-03-10,바닐라라떼,음료,5500,141,67
2026-04-23,크루아상,베이커리,3800,179,248
2026-01-08,카페라떼,음료,5000,162,311
2026-02-10,바닐라라떼,음료,5500,80,282
2026-05-22,아메리카노,음료,4500,105,47
2026-01-30,바닐라라떼,음료,5500,119,484
2026-06-15,카페라떼,음료,5000,40,255
2026-03-16,에코백,,12000,131,361
2026-04-17,크루아상,베이커리,3800,124,241
2026-04-27,바닐라라떼,음료,5500,142,74
2026-02-18,마들렌,베이커리,2800,154,260
2026-02-04,에코백,굿즈,12000,18,141
2026-03-29,마들렌,베이커리,2800,130,136
2026-03-14,아메리카노,음료,4500,186,152
2026-05-29,에티오피아원두,원두,21000,169,250
2026-04-25,카푸치노,음료,"5,200",138,247
2026-03-27,스콘,베이커리,3500,142,390
2026-04-07,콜롬비아원두,원두,18000,117,477
2026-02-18,스콘,베이커리,3500,179,122
2026-04-09,에티오피아원두,원두,21000,60,438
2026-01-12,마들렌,베이커리,2800,82,381
2026-06-30,치아바타,베이커리,4200,98,197
2026-06-16,텀블러,굿즈,15000,39,253
2026-02-02,아메리카노,음료,4500,129,494
2026-03-26,에티오피아원두,원두,21000,26,447
2026-01-26,치아바타,베이커리,4200,135,466
2026-01-04,치아바타,베이커리,4200원,185,73
2026-06-17,마들렌,베이커리,2800,40,38
2026-03-09,치아바타,베이커리,4200,87,
2026-04-12,에코백,굿즈,12000,167,41
2026-06-22,스콘,베이커리,3500,137,194
2026-06-10,스콘,,3500,184,454
2026-05-19,치아바타,베이커리,4200,10,316
2026-03-02,카페라떼,음료,5000,162,350
2026-02-28,크루아상,베이커리,3800,192,46
2026-01-26,마들렌,베이커리,2800,195,324
2026-01-26,에코백,굿즈,12000,114,85
2026-03-18,에코백,굿즈,12000,8,23
2026-01-15,스콘,베이커리,3500,76,183
2026-04-21,스콘,베이커리,"3,500",38,125
2026-04-16,콜롬비아원두,원두,18000,145,349
2026-02-13,카푸치노,음료,5200,45,40
2026-04-08,에티오피아원두,원두,21000,159,349
2026-05-08,바닐라라떼,음료,5500,150,73
2026-04-29,바닐라라떼,음료,5500,164,130
2026-03-07,치아바타,베이커리,4200,171,4
2026-03-15,치아바타,베이커리,4200,174,279
2026-01-19,카푸치노,음료,5200,114,483
2026-05-31,스콘,베이커리,3500,77,327
2026-06-26,마들렌,베이커리,2800,65,233
2026-02-20,크루아상,베이커리,3800,99,436
2026-01-28,치아바타,베이커리,4200,61,195
2026-04-02,에티오피아원두,원두,21000,148,151
2026-03-17,에코백,굿즈,12000,6,500
2026-04-12,텀블러,굿즈,15000,71,4
2026-06-25,에티오피아원두,원두,21000,200,381
2026-06-05,아메리카노,음료,4500,191,254
2026-02-28,크루아상,베이커리,3800,156,410
2026-02-26,스콘,베이커리,3500,163,97
2026-03-06,에티오피아원두,원두,21000,174,386
2026-06-18,에코백,굿즈,12000,175,
2026-06-10,카푸치노,음료,5200,25,462
2026-06-15,텀블러,굿즈,15000,11,158
2026-01-09,치아바타,베이커리,4200,149,
2026-02-03,에코백,굿즈,"12,000",24,465
2026-03-25,크루아상,베이커리,3800,192,212
2026-02-21,카푸치노,음료,5200,34,402
2026-04-04,콜롬비아원두,원두,18000,136,256
2026-02-12,크루아상,베이커리,3800,66,467
2026-03-17,치아바타,베이커리,4200,192,445
2026-01-30,스콘,베이커리,3500,120,493
2026-02-06,카페라떼,음료,5000,194,494
2026-06-23,바닐라라떼,음료,5500,186,345
2026-05-23,마들렌,베이커리,2800,94,46
2026-01-04,마들렌,베이커리,2800,68,274
2026-04-27,카페라떼,음료,5000,95,344
2026-06-22,에코백,굿즈,12000,68,299
2026-06-13,마들렌,베이커리,2800,96,55
2026-03-01,텀블러,굿즈,15000,121,12
2026-05-24,에티오피아원두,원두,21000,84,468
2026-02-26,에티오피아원두,원두,21000,166,32
2026-04-29,텀블러,굿즈,15000,180,154
2026-04-15,텀블러,굿즈,15000,30,71
2026-01-10,아메리카노,음료,4500,78,252
2026-01-25,카페라떼,음료,5000,61,454
2026-02-04,콜롬비아원두,원두,18000,100,232
2026-06-21,스콘,베이커리,3500,191,356
2026-04-18,콜롬비아원두,원두,"18,000",151,380
2026-02-09,에코백,굿즈,12000,107,335
2026-05-06,카페라떼,음료,5000,158,208
2026-01-09,크루아상,베이커리,3800,177,189
2026-04-24,바닐라라떼,음료,5500,114,486
2026-04-03,바닐라라떼,음료,5500,26,351
2026-05-20,스콘,베이커리,3500,166,183
2026-04-12,아메리카노,음료,4500,71,97
2026-04-27,카페라떼,음료,5000,24,339
2026-06-14,바닐라라떼,음료,5500,164,305
2026-01-13,아메리카노,음료,,86,124
2026-05-25,카푸치노,음료,5200,53,35
2026-02-23,콜롬비아원두,원두,18000,151,110
2026-03-26,바닐라라떼,음료,5500원,199,75
2026-01-01,에티오피아원두,원두,21000,71,439
2026-02-03,카푸치노,음료,5200,139,128
2026-01-29,카푸치노,음료,5200,170,443
2026-02-03,아메리카노,음료,4500,4,183
2026-05-31,바닐라라떼,음료,5500,83,8
2026-03-09,카푸치노,음료,5200,14,64
2026-04-18,에코백,굿즈,12000,135,58
2026-01-17,에코백,굿즈,12000,122,229
2026-05-12,스콘,베이커리,3500,152,55
2026-05-09,치아바타,베이커리,"4,200",57,484
2026-01-12,에티오피아원두,원두,21000,187,401
2026-05-14,텀블러,,15000,78,234
2026-01-08,텀블러,굿즈,15000,16,
2026-04-20,마들렌,베이커리,2800,176,55
2026-04-24,치아바타,베이커리,4200,19,460
2026-03-24,카페라떼,음료,5000,156,75
2026-02-02,카페라떼,음료,5000,71,319
2026-05-30,텀블러,굿즈,15000,141,364
2026-04-08,스콘,베이커리,3500,153,271
2026-04-27,크루아상,베이커리,3800,130,309
2026-01-26,마들렌,베이커리,2800,180,58
2026-06-16,텀블러,굿즈,15000,197,282
2026-02-25,에코백,굿즈,12000,111,231
2026-04-16,바닐라라떼,음료,5500,87,423
2026-04-13,치아바타,베이커리,4200,107,373
2026-03-22,카페라떼,음료,5000,110,
2026-03-07,텀블러,굿즈,15000,96,488
2026-06-25,카푸치노,음료,5200,122,34
2026-01-22,카페라떼,음료,5000,24,221
2026-04-06,카페라떼,음료,5000,34,284
2026-05-31,아메리카노,음료,"4,500",144,287
2026-06-21,스콘,베이커리,3500,32,210
2026-06-20,스콘,베이커리,3500,193,216
2026-01-14,에코백,굿즈,12000,74,307
2026-04-01,크루아상,베이커리,3800,27,295
2026-02-24,콜롬비아원두,원두,18000,40,336
2026-02-27,치아바타,베이커리,4200,28,179
2026-04-05,콜롬비아원두,원두,18000,30,390
2026-05-27,크루아상,베이커리,3800,58,413
2026-05-24,마들렌,베이커리,2800,197,419
2026-06-07,에티오피아원두,원두,21000,173,329
2026-01-07,콜롬비아원두,원두,18000,156,475
2026-06-27,텀블러,굿즈,15000,69,14
2026-03-11,카푸치노,음료,5200,180,390
2026-03-28,크루아상,베이커리,3800,90,3
2026-02-06,카푸치노,음료,5200,145,336
2026-01-18,마들렌,베이커리,2800,37,379
2026-01-08,텀블러,굿즈,15000,24,382
2026-02-25,콜롬비아원두,원두,18000,97,214
2026-03-29,치아바타,베이커리,4200,41,189
2026-03-25,크루아상,베이커리,3800,199,482
2026-06-02,에티오피아원두,원두,21000,22,452
2026-02-09,아메리카노,음료,"4,500",41,386
2026-01-13,에티오피아원두,원두,21000,173,41
2026-04-24,크루아상,베이커리,3800,170,217
2026-06-05,치아바타,베이커리,4200,114,212
2026-02-25,크루아상,베이커리,3800,194,262
2026-03-30,카페라떼,음료,5000,111,
2026-06-23,크루아상,베이커리,3800,174,303
2026-05-15,치아바타,베이커리,4200,171,157
2026-02-26,아메리카노,음료,4500,102,306
2026-01-02,아메리카노,음료,4500,53,154
2026-02-05,바닐라라떼,음료,5500,196,130
2026-03-25,크루아상,베이커리,3800,31,3
2026-04-21,치아바타,베이커리,4200,45,66
2026-05-17,마들렌,베이커리,,181,117
2026-05-24,콜롬비아원두,원두,18000,172,412
2026-01-19,스콘,베이커리,3500,102,441
2026-01-11,에코백,굿즈,12000,112,9
2026-01-20,치아바타,베이커리,4200,81,294
2026-05-27,마들렌,베이커리,2800,104,363
2026-04-17,텀블러,굿즈,15000,75,58
2026-01-06,마들렌,베이커리,2800,84,87
2026-04-28,에티오피아원두,원두,21000,177,470
2026-01-23,스콘,베이커리,3500,112,432
2026-03-04,카페라떼,음료,"5,000",112,301
2026-05-15,마들렌,베이커리,2800,21,202
2026-03-28,크루아상,베이커리,3800,57,170
2026-01-20,카푸치노,음료,5200,131,324
2026-05-16,카페라떼,음료,5000,131,99
2026-03-31,스콘,베이커리,3500,187,490
2026-02-07,텀블러,굿즈,15000,61,52
2026-03-07,카푸치노,음료,5200,51,88
2026-02-09,에티오피아원두,원두,21000,195,388
2026-01-20,텀블러,굿즈,15000,46,487
2026-05-07,텀블러,굿즈,15000,119,386
2026-05-29,에티오피아원두,원두,21000,115,348
2026-06-14,에티오피아원두,,21000,163,319
2026-06-10,스콘,베이커리,3500,81,77
2026-01-18,치아바타,베이커리,4200,121,226
2026-03-19,텀블러,굿즈,15000,71,302
2026-04-01,아메리카노,음료,4500,130,37
2026-04-29,크루아상,베이커리,3800,116,19
2026-04-05,아메리카노,음료,4500,74,39
2026-01-24,텀블러,굿즈,15000,158,304
2026-04-09,콜롬비아원두,원두,18000,119,297
2026-01-11,콜롬비아원두,원두,18000,116,465
